"owner","field","file","occurrences"
"data","revenue","data/dashboard.js","1"
"data","summary","data/dashboard.js","2"
"data","user_status","data/dashboard.js","1"
"data","withdrawal_summary","data/dashboard.js","1"
"instructor","push","data/dashboard.js","1"
"instructor","reduce","data/dashboard.js","1"
"item","date","data/dashboard.js","3"
"result","dashboard","data/dashboard.js","6"
"course","instructor_id","scripts/validate-mock-data.cjs","2"
"course","status","scripts/validate-mock-data.cjs","1"
"instructor","role","scripts/validate-mock-data.cjs","2"
"item","course_id","scripts/validate-mock-data.cjs","3"
"item","id","scripts/validate-mock-data.cjs","3"
"item","user_id","scripts/validate-mock-data.cjs","2"
"order","amount","scripts/validate-mock-data.cjs","2"
"order","course_id","scripts/validate-mock-data.cjs","2"
"order","payment_status","scripts/validate-mock-data.cjs","1"
"order","user_id","scripts/validate-mock-data.cjs","2"
"user","role","scripts/validate-mock-data.cjs","4"
