"path","extension","size_bytes","modified_at","is_changed","category"
".design-backup/refine-seline-admin-20260713-222851/assets/js/pages/dashboard.js",".js","57666","2026-07-13T23:13:12","False","page"
".design-backup/refine-seline-admin-20260713-222851/knowledge/design/theme.css",".css","1570","2026-07-13T23:13:12","False","style"
".design-backup/refine-seline-admin-20260713-222851/knowledge/design/tokens.json",".json","10098","2026-07-13T23:13:12","False","other"
".design-backup/refine-seline-admin-20260713-222851/knowledge/design/variables.css",".css","2180","2026-07-13T23:13:12","False","style"
".design-backup/refine-seline-admin-20260713-222851/pages/dashboard.html",".html","42204","2026-07-13T23:13:12","False","page"
".design-backup/refine-seline-admin-20260713-222851/_setup-input/theme.css",".css","1570","2026-07-13T23:13:12","False","style"
".design-backup/refine-seline-admin-20260713-222851/_setup-input/tokens.json",".json","10098","2026-07-13T23:13:12","False","other"
".design-backup/refine-seline-admin-20260713-222851/_setup-input/variables.css",".css","2180","2026-07-13T23:13:12","False","style"
"assets/css/input.css",".css","11054","2026-07-16T00:20:37","False","style"
"assets/css/output.css",".css","67624","2026-07-16T00:20:37","False","style"
"assets/js/app.js",".js","296","2026-07-14T14:48:26","False","other"
"assets/js/layout.js",".js","2070","2026-07-16T00:18:54","False","other"
"assets/js/modal.js",".js","314","2026-07-11T10:04:15","False","other"
"assets/js/sidebar-scroll.js",".js","2280","2026-07-16T00:18:54","False","other"
"assets/js/sidebar-toggle.js",".js","4092","2026-07-16T00:20:37","False","other"
"assets/js/sidebar.js",".js","4718","2026-07-16T00:18:54","False","other"
"assets/js/toast.js",".js","9263","2026-07-16T00:18:54","False","other"
"assets/js/api/categories-api.js",".js","16655","2026-07-16T00:18:54","False","api"
"assets/js/api/course-reviews-api.js",".js","10153","2026-07-14T16:48:00","False","api"
"assets/js/api/courses-api.js",".js","12610","2026-07-14T16:48:00","False","api"
"assets/js/api/instructor-upgrades-api.js",".js","12462","2026-07-14T16:48:00","False","api"
"assets/js/api/users-api.js",".js","18864","2026-07-14T16:48:00","False","api"
"assets/js/core/config.js",".js","85","2026-07-14T14:22:09","False","core"
"assets/js/core/custom-select.js",".js","21084","2026-07-14T14:48:26","False","core"
"assets/js/core/table-row-click.js",".js","4204","2026-07-14T16:48:00","False","core"
"assets/js/mocks/course-reviews-mock.js",".js","67474","2026-07-14T16:48:00","False","mock"
"assets/js/mocks/courses-mock.js",".js","36897","2026-07-14T16:48:00","False","mock"
"assets/js/mocks/instructor-upgrades-mock.js",".js","14981","2026-07-14T14:22:09","False","mock"
"assets/js/mocks/mock-database.js",".js","118968","2026-07-16T00:18:54","False","mock"
"assets/js/mocks/mock-repository.js",".js","8365","2026-07-16T00:18:54","False","mock"
"assets/js/pages/banners.js",".js","192","2026-07-11T10:04:17","False","page"
"assets/js/pages/categories.js",".js","73577","2026-07-16T00:18:54","False","page"
"assets/js/pages/course-reviews.js",".js","68923","2026-07-16T00:18:54","False","page"
"assets/js/pages/courses.js",".js","83954","2026-07-14T16:48:00","False","page"
"assets/js/pages/dashboard.js",".js","57661","2026-07-13T22:46:12","False","page"
"assets/js/pages/faqs.js",".js","176","2026-07-11T10:04:17","False","page"
